Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Demo-searchtest,Chrome 124.0.0.0,,,23-05-2024 18:18:33,23-05-2024 18:18:47,14.039s,PASSED
,,,,,,,
Test Cases/Demo-searchtest,Chrome 124.0.0.0,https://daxue.koolearn.com/,product,23-05-2024 18:18:33,23-05-2024 18:18:41,7.929s,PASSED
"openBrowser("""")",Chrome 124.0.0.0,,,23-05-2024 18:18:33,23-05-2024 18:18:35,1.981s,PASSED
"navigateToUrl(""https://daxue.koolearn.com/"")",Chrome 124.0.0.0,,,23-05-2024 18:18:35,23-05-2024 18:18:37,2.057s,PASSED
"click(findTestObject(""Object Repository/Demo-searchtest/Page__/img__w-32px h-32px absolute top-0 right--48_3643d3""))",Chrome 124.0.0.0,,,23-05-2024 18:18:37,23-05-2024 18:18:37,0.419s,PASSED
"setText(findTestObject(""Object Repository/Demo-searchtest/Page__/input__keyword""), ""在职考研"")",Chrome 124.0.0.0,,,23-05-2024 18:18:37,23-05-2024 18:18:39,1.267s,PASSED
"click(findTestObject(""Object Repository/Demo-searchtest/Page__/button_""))",Chrome 124.0.0.0,,,23-05-2024 18:18:39,23-05-2024 18:18:39,0.612s,PASSED
"switchToWindowTitle(""新东方在线官网_新东方旗下远程教育网站,新东方网络课堂,新东方网校,新东方官方网校,新东方网络课程,新东方考研辅导班"")",Chrome 124.0.0.0,,,23-05-2024 18:18:39,23-05-2024 18:18:40,0.838s,PASSED
"click(findTestObject(""Object Repository/Demo-searchtest/Page__,,,,,/div_2025""))",Chrome 124.0.0.0,,,23-05-2024 18:18:40,23-05-2024 18:18:41,0.523s,PASSED
closeBrowser(),Chrome 124.0.0.0,,,23-05-2024 18:18:41,23-05-2024 18:18:41,0.119s,PASSED
,,,,,,,
Test Cases/Demo-searchtest,Chrome 124.0.0.0,https://daxue.koolearn.com/,product,23-05-2024 18:18:41,23-05-2024 18:18:47,6.036s,PASSED
"openBrowser("""")",Chrome 124.0.0.0,,,23-05-2024 18:18:41,23-05-2024 18:18:42,0.681s,PASSED
"navigateToUrl(""https://daxue.koolearn.com/"")",Chrome 124.0.0.0,,,23-05-2024 18:18:42,23-05-2024 18:18:42,0.059s,PASSED
"click(findTestObject(""Object Repository/Demo-searchtest/Page__/img__w-32px h-32px absolute top-0 right--48_3643d3""))",Chrome 124.0.0.0,,,23-05-2024 18:18:42,23-05-2024 18:18:44,2.144s,PASSED
"setText(findTestObject(""Object Repository/Demo-searchtest/Page__/input__keyword""), ""在职考研"")",Chrome 124.0.0.0,,,23-05-2024 18:18:44,23-05-2024 18:18:45,1.041s,PASSED
"click(findTestObject(""Object Repository/Demo-searchtest/Page__/button_""))",Chrome 124.0.0.0,,,23-05-2024 18:18:45,23-05-2024 18:18:46,0.757s,PASSED
"switchToWindowTitle(""新东方在线官网_新东方旗下远程教育网站,新东方网络课堂,新东方网校,新东方官方网校,新东方网络课程,新东方考研辅导班"")",Chrome 124.0.0.0,,,23-05-2024 18:18:46,23-05-2024 18:18:46,0.935s,PASSED
"click(findTestObject(""Object Repository/Demo-searchtest/Page__,,,,,/div_2025""))",Chrome 124.0.0.0,,,23-05-2024 18:18:46,23-05-2024 18:18:47,0.293s,PASSED
closeBrowser(),Chrome 124.0.0.0,,,23-05-2024 18:18:47,23-05-2024 18:18:47,0.106s,PASSED
