Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
vodPlayer,Chrome 124.0.0.0,,,23-05-2024 21:25:06,23-05-2024 21:25:59,53.020s,PASSED
,,,,,,,
Test Cases/vodPlayer/case1-fromMyliveTovodPlayer,Chrome 124.0.0.0,,,23-05-2024 21:25:06,23-05-2024 21:25:59,52.850s,PASSED
"openBrowser("""")",Chrome 124.0.0.0,,,23-05-2024 21:25:07,23-05-2024 21:25:09,2.087s,PASSED
"navigateToUrl(""https://login.koolearn.com/sso/toLogin.do?next_page=https%3A%2F%2Fstudy.koolearn.com%2Flive%2Findex"")",Chrome 124.0.0.0,,,23-05-2024 21:25:09,23-05-2024 21:25:10,1.461s,PASSED
"click(findTestObject(""Object Repository/vodPlayer/case1-fromMyliveTovodPlayer/Page_login/div__QRcode""))",Chrome 124.0.0.0,,,23-05-2024 21:25:10,23-05-2024 21:25:11,0.382s,PASSED
"click(findTestObject(""Object Repository/vodPlayer/case1-fromMyliveTovodPlayer/Page_login/div_""))",Chrome 124.0.0.0,,,23-05-2024 21:25:11,23-05-2024 21:25:17,6.012s,PASSED
"setText(findTestObject(""Object Repository/vodPlayer/case1-fromMyliveTovodPlayer/Page_login/input__loginusername""), username4)",Chrome 124.0.0.0,,,23-05-2024 21:25:17,23-05-2024 21:25:17,0.953s,PASSED
"setText(findTestObject(""Object Repository/vodPlayer/case1-fromMyliveTovodPlayer/Page_login/input__loginpassword""), password4)",Chrome 124.0.0.0,,,23-05-2024 21:25:17,23-05-2024 21:25:18,0.571s,PASSED
"click(findTestObject(""Object Repository/vodPlayer/case1-fromMyliveTovodPlayer/Page_login/input__ant-checkbox-input""))",Chrome 124.0.0.0,,,23-05-2024 21:25:18,23-05-2024 21:25:19,0.549s,PASSED
"click(findTestObject(""Object Repository/vodPlayer/case1-fromMyliveTovodPlayer/Page_login/div__loginbutton""))",Chrome 124.0.0.0,,,23-05-2024 21:25:19,23-05-2024 21:25:20,1.139s,PASSED
delay(2),Chrome 124.0.0.0,,,23-05-2024 21:25:20,23-05-2024 21:25:22,2.074s,PASSED
"setText(findTestObject(""Object Repository/vodPlayer/case1-fromMyliveTovodPlayer/Page_mylive/input__p-search__input""), ""巧记四六级核心词！"")",Chrome 124.0.0.0,,,23-05-2024 21:25:22,23-05-2024 21:25:22,0.583s,PASSED
"click(findTestObject(""Object Repository/vodPlayer/case1-fromMyliveTovodPlayer/Page_mylive/i__clicksearchicon""))",Chrome 124.0.0.0,,,23-05-2024 21:25:22,23-05-2024 21:25:23,0.351s,PASSED
"click(findTestObject(""Object Repository/vodPlayer/case1-fromMyliveTovodPlayer/Page_mylive/a_clickpalybackbutton""))",Chrome 124.0.0.0,,,23-05-2024 21:25:23,23-05-2024 21:25:23,0.734s,PASSED
delay(2),Chrome 124.0.0.0,,,23-05-2024 21:25:23,23-05-2024 21:25:25,2.006s,PASSED
"click(findTestObject(""Object Repository/vodPlayer/case1-fromMyliveTovodPlayer/Page_vodplayer/div__xdf-player_pagebottom""))",Chrome 124.0.0.0,,,23-05-2024 21:25:25,23-05-2024 21:25:58,32.646s,PASSED
"click(findTestObject(""Object Repository/vodPlayer/case1-fromMyliveTovodPlayer/Page_vodplayer/div_speed""))",Chrome 124.0.0.0,,,23-05-2024 21:25:58,23-05-2024 21:25:58,0.005s,NOT_RUN
delay(1),Chrome 124.0.0.0,,,23-05-2024 21:25:58,23-05-2024 21:25:59,1.012s,PASSED
"click(findTestObject(""Object Repository/vodPlayer/case1-fromMyliveTovodPlayer/Page_vodplayer/span_1.25X""))",Chrome 124.0.0.0,,,23-05-2024 21:25:59,23-05-2024 21:25:59,0.005s,NOT_RUN
closeBrowser(),Chrome 124.0.0.0,,,23-05-2024 21:25:59,23-05-2024 21:25:59,0.122s,PASSED
